iso2,inst_id,display_name,year,works_count,country_rank
US,I919571938,The University of Texas Health Science Center at Houston,2018,59692,1
US,I136199984,Harvard University,2018,27508,2
US,I201448701,University of Washington,2018,19236,3
US,I27837315,University of Michigan,2018,18913,4
US,I97018004,Stanford University,2018,18380,5
US,I145311948,Johns Hopkins University,2018,18249,6
US,I205783295,Cornell University,2018,16415,7
US,I79576946,University of Pennsylvania,2018,14000,8
US,I32971472,Yale University,2018,13260,9
US,I161318765,"University of California, Los Angeles",2018,13207,10
US,I36258959,University of California San Diego,2018,12581,11
US,I33213144,University of Florida,2018,12552,12
US,I95457486,"University of California, Berkeley",2018,12547,13
US,I78577930,Columbia University,2018,12491,14
US,I52357470,The Ohio State University,2018,11688,15
US,I142606810,Pacific Northwest National Laboratory,2023,94459,1
US,I2801280572,Environmental Molecular Sciences Laboratory,2023,91687,2
US,I136199984,Harvard University,2023,34501,3
US,I97018004,Stanford University,2023,22052,4
US,I145311948,Johns Hopkins University,2023,21885,5
US,I27837315,University of Michigan,2023,21338,6
US,I201448701,University of Washington,2023,20388,7
US,I95457486,"University of California, Berkeley",2023,19504,8
US,I205783295,Cornell University,2023,18693,9
US,I161318765,"University of California, Los Angeles",2023,16965,10
US,I32971472,Yale University,2023,16944,11
US,I79576946,University of Pennsylvania,2023,16755,12
US,I36258959,University of California San Diego,2023,16133,13
US,I33213144,University of Florida,2023,15520,14
US,I114027177,University of North Carolina at Chapel Hill,2023,15458,15
CA,I185261750,University of Toronto,2018,20953,1
CA,I141945490,University of British Columbia,2018,13133,2
CA,I5023651,McGill University,2018,10385,3
CA,I154425047,University of Alberta,2018,10101,4
CA,I168635309,University of Calgary,2018,9376,5
CA,I153718931,University of Ottawa,2018,7085,6
CA,I98251732,McMaster University,2018,6622,7
CA,I125749732,Western University,2018,6367,8
CA,I70931966,Université de Montréal,2018,6313,9
CA,I151746483,University of Waterloo,2018,5592,10
CA,I43406934,Université Laval,2018,4627,11
CA,I46247651,University of Manitoba,2018,4125,12
CA,I129902397,Dalhousie University,2018,4118,13
CA,I204722609,Queen's University,2018,3972,14
CA,I32625721,University of Saskatchewan,2018,3506,15
CA,I185261750,University of Toronto,2023,26675,1
CA,I141945490,University of British Columbia,2023,16131,2
CA,I5023651,McGill University,2023,12647,3
CA,I154425047,University of Alberta,2023,11567,4
CA,I168635309,University of Calgary,2023,9534,5
CA,I98251732,McMaster University,2023,8434,6
CA,I153718931,University of Ottawa,2023,8277,7
CA,I70931966,Université de Montréal,2023,7858,8
CA,I125749732,Western University,2023,7527,9
CA,I151746483,University of Waterloo,2023,6860,10
CA,I43406934,Université Laval,2023,5988,11
CA,I204722609,Queen's University,2023,5318,12
CA,I129902397,Dalhousie University,2023,4951,13
CA,I46247651,University of Manitoba,2023,4627,14
CA,I1325899441,University Health Network,2023,4552,15
GB,I45129253,University College London,2018,22156,1
GB,I40120149,University of Oxford,2018,19306,2
GB,I241749,University of Cambridge,2018,15439,3
GB,I47508984,Imperial College London,2018,14766,4
GB,I183935753,King's College London,2018,10590,5
GB,I28407311,University of Manchester,2018,10587,6
GB,I98677209,University of Edinburgh,2018,9767,7
GB,I79619799,University of Birmingham,2018,7468,8
GB,I36234482,University of Bristol,2018,7427,9
GB,I142263535,University of Nottingham,2018,7098,10
GB,I130828816,University of Leeds,2018,6895,11
GB,I146655781,University of Liverpool,2018,6859,12
GB,I43439940,University of Southampton,2018,6812,13
GB,I91136226,University of Sheffield,2018,6541,14
GB,I7882870,University of Glasgow,2018,6450,15
GB,I45129253,University College London,2023,27845,1
GB,I40120149,University of Oxford,2023,24407,2
GB,I241749,University of Cambridge,2023,18269,3
GB,I47508984,Imperial College London,2023,18245,4
GB,I183935753,King's College London,2023,14173,5
GB,I98677209,University of Edinburgh,2023,13150,6
GB,I28407311,University of Manchester,2023,12619,7
GB,I79619799,University of Birmingham,2023,9160,8
GB,I7882870,University of Glasgow,2023,9107,9
GB,I36234482,University of Bristol,2023,9025,10
GB,I146655781,University of Liverpool,2023,8833,11
GB,I130828816,University of Leeds,2023,8571,12
GB,I142263535,University of Nottingham,2023,7904,13
GB,I43439940,University of Southampton,2023,7440,14
GB,I91136226,University of Sheffield,2023,7303,15
DE,I223822909,Heidelberg University,2018,11313,1
DE,I8204097,Ludwig-Maximilians-Universität München,2018,9986,2
DE,I62916508,Technical University of Munich,2018,8760,3
DE,I159176309,Universität Hamburg,2018,8412,4
DE,I114090438,Goethe University Frankfurt,2018,7548,5
DE,I887968799,RWTH Aachen University,2018,7001,6
DE,I149899117,Max Planck Society,2018,6060,7
DE,I7877124,Charité - Universitätsmedizin Berlin,2018,5978,8
DE,I1294671590,Centre National de la Recherche Scientifique,2018,5899,9
DE,I102335020,Karlsruhe Institute of Technology,2018,5850,10
DE,I78650965,Technische Universität Dresden,2018,5622,11
DE,I181369854,Friedrich-Alexander-Universität Erlangen-Nürnberg,2018,5404,12
DE,I161046081,University of Freiburg,2018,4917,13
DE,I197323543,Johannes Gutenberg University Mainz,2018,4817,14
DE,I2802164966,University Hospital Heidelberg,2018,4791,15
DE,I223822909,Heidelberg University,2023,13342,1
DE,I8204097,Ludwig-Maximilians-Universität München,2023,12893,2
DE,I62916508,Technical University of Munich,2023,12637,3
DE,I159176309,Universität Hamburg,2023,10732,4
DE,I887968799,RWTH Aachen University,2023,8749,5
DE,I7877124,Charité - Universitätsmedizin Berlin,2023,8180,6
DE,I75951250,Freie Universität Berlin,2023,7985,7
DE,I1294671590,Centre National de la Recherche Scientifique,2023,7751,8
DE,I114090438,Goethe University Frankfurt,2023,7341,9
DE,I78650965,Technische Universität Dresden,2023,7311,10
DE,I102335020,Karlsruhe Institute of Technology,2023,7237,11
DE,I39343248,Humboldt-Universität zu Berlin,2023,6949,12
DE,I181369854,Friedrich-Alexander-Universität Erlangen-Nürnberg,2023,6640,13
DE,I8087733,University of Tübingen,2023,6506,14
DE,I2802164966,University Hospital Heidelberg,2023,6383,15
FR,I1294671590,Centre National de la Recherche Scientifique,2018,57626,1
FR,I154526488,Inserm,2018,20011,2
FR,I39804081,Sorbonne Université,2018,16194,3
FR,I204730241,Université Paris Cité,2018,15449,4
FR,I277688954,Université Paris-Saclay,2018,10024,5
FR,I100532134,Université Claude Bernard Lyon 1,2018,8911,6
FR,I899635006,Université Grenoble Alpes,2018,8853,7
FR,I21491767,Aix-Marseille Université,2018,8017,8
FR,I2738703131,Commissariat à l'Énergie Atomique et aux Énergies Alternatives,2018,7631,9
FR,I90183372,Université de Lorraine,2018,6974,10
FR,I4210097159,Assistance Publique – Hôpitaux de Paris,2018,6731,11
FR,I19894307,Université de Montpellier,2018,6142,12
FR,I2279609970,Université de Lille,2018,5623,13
FR,I15057530,Université de Bordeaux,2018,5580,14
FR,I102197404,Université Paris-Sud,2018,5479,15
FR,I1294671590,Centre National de la Recherche Scientifique,2023,67903,1
FR,I154526488,Inserm,2023,24790,2
FR,I39804081,Sorbonne Université,2023,18948,3
FR,I204730241,Université Paris Cité,2023,16828,4
FR,I277688954,Université Paris-Saclay,2023,15030,5
FR,I4210088668,"Institut National de Recherche pour l'Agriculture, l'Alimentation et l'Environnement",2023,11940,6
FR,I100532134,Université Claude Bernard Lyon 1,2023,10292,7
FR,I899635006,Université Grenoble Alpes,2023,10125,8
FR,I4210097159,Assistance Publique – Hôpitaux de Paris,2023,9113,9
FR,I19894307,Université de Montpellier,2023,8910,10
FR,I2738703131,Commissariat à l'Énergie Atomique et aux Énergies Alternatives,2023,8427,11
