iso2,year,works_count
US,2013,927810
CN,2013,654713
GB,2013,261965
FR,2013,230443
DE,2013,226188
JP,2013,174324
IN,2013,143751
CA,2013,133053
BR,2013,132415
IT,2013,124090
ES,2013,118330
AU,2013,116464
KR,2013,98336
PL,2013,75246
NL,2013,73738
RU,2013,68731
CH,2013,55628
IR,2013,54581
BE,2013,49557
TR,2013,46136
SE,2013,44327
DK,2013,40008
MX,2013,36002
ID,2013,33716
PT,2013,31342
AT,2013,29808
MY,2013,28923
CZ,2013,26360
ZA,2013,26034
IL,2013,25358
NO,2013,23814
FI,2013,23129
CO,2013,22856
SG,2013,21974
AR,2013,21932
EG,2013,19755
IE,2013,18708
NZ,2013,17995
SA,2013,16342
CL,2013,15463
TH,2013,14688
PK,2013,13677
NG,2013,13579
BD,2013,7810
VN,2013,5532
KE,2013,4111
EE,2013,3811
AE,2013,3675
GE,2013,1023
MT,2013,772
US,2014,955735
CN,2014,623977
GB,2014,270036
FR,2014,239670
DE,2014,236355
JP,2014,178345
IN,2014,165634
BR,2014,149475
CA,2014,140489
IT,2014,129279
ES,2014,125894
AU,2014,121631
KR,2014,100893
PL,2014,82049
RU,2014,79869
NL,2014,76069
IR,2014,62981
CH,2014,58284
TR,2014,53933
BE,2014,52200
SE,2014,47480
DK,2014,41682
ID,2014,41125
MX,2014,39607
PT,2014,34734
MY,2014,33920
AT,2014,31203
CZ,2014,30485
ZA,2014,28990
IL,2014,25946
NO,2014,25664
FI,2014,24571
SG,2014,23870
CO,2014,23523
AR,2014,23448
EG,2014,22731
SA,2014,20052
IE,2014,19465
NZ,2014,18981
CL,2014,17187
TH,2014,16771
NG,2014,16685
PK,2014,15677
BD,2014,9277
VN,2014,6444
KE,2014,5137
AE,2014,4132
EE,2014,4095
GE,2014,1176
MT,2014,924
US,2015,982884
CN,2015,556944
GB,2015,284020
FR,2015,247452
DE,2015,246653
JP,2015,179508
IN,2015,172524
BR,2015,166669
CA,2015,142211
IT,2015,135428
ES,2015,131509
AU,2015,128128
KR,2015,101631
RU,2015,98091
PL,2015,88817
NL,2015,78110
IR,2015,69470
TR,2015,61988
CH,2015,61711
ID,2015,59588
BE,2015,53309
SE,2015,49175
DK,2015,44007
MX,2015,42264
PT,2015,36565
MY,2015,34978
AT,2015,32992
CZ,2015,32163
ZA,2015,29286
NO,2015,27025
IL,2015,26871
FI,2015,25976
EG,2015,25559
CO,2015,25504
SG,2015,24982
AR,2015,24368
SA,2015,22849
IE,2015,20532
CL,2015,19731
NZ,2015,19466
PK,2015,17394
TH,2015,17209
NG,2015,16329
BD,2015,10015
VN,2015,6974
KE,2015,5662
AE,2015,5132
EE,2015,4064
GE,2015,1301
MT,2015,1018
US,2016,996850
CN,2016,481388
GB,2016,300448
DE,2016,265154
FR,2016,257313
IN,2016,194498
BR,2016,183524
JP,2016,182081
CA,2016,150814
IT,2016,140234
ES,2016,135540
AU,2016,134749
RU,2016,111929
KR,2016,100179
PL,2016,92999
ID,2016,85613
NL,2016,81432
IR,2016,77047
TR,2016,68477
CH,2016,64251
SE,2016,54551
BE,2016,54443
DK,2016,46420
MX,2016,45140
PT,2016,38303
AT,2016,35745
MY,2016,35045
CZ,2016,33635
ZA,2016,32204
EG,2016,29590
NO,2016,29527
IL,2016,28703
FI,2016,27319
AR,2016,26285
CO,2016,26201
SG,2016,25988
SA,2016,24558
CL,2016,23042
IE,2016,22657
NZ,2016,21154
PK,2016,20073
TH,2016,18681
NG,2016,18026
BD,2016,10489
VN,2016,8422
KE,2016,6171
AE,2016,5719
EE,2016,4253
GE,2016,1632
MT,2016,1138
US,2017,1027012
CN,2017,529381
GB,2017,302492
DE,2017,262850
FR,2017,258980
IN,2017,220350
BR,2017,201865
JP,2017,184053
CA,2017,150220
IT,2017,145849
ES,2017,143555
AU,2017,136205
ID,2017,130922
RU,2017,118337
KR,2017,102662
PL,2017,94112
NL,2017,83845
IR,2017,82202
TR,2017,70639
CH,2017,67256
BE,2017,54819
SE,2017,53394
MX,2017,47840
DK,2017,46659
PT,2017,40685
MY,2017,40015
AT,2017,35441
CZ,2017,33370
ZA,2017,33068
EG,2017,32419
NO,2017,31976
IL,2017,29345
CO,2017,29157
FI,2017,28294
AR,2017,27408
SG,2017,27128
SA,2017,26542
PK,2017,24738
NZ,2017,22718
CL,2017,22590
IE,2017,22141
NG,2017,21253
TH,2017,20952
BD,2017,11686
VN,2017,9954
AE,2017,7353
KE,2017,6941
EE,2017,4458
GE,2017,1758
MT,2017,1332
US,2018,1135701
CN,2018,616118
GB,2018,319704
DE,2018,278338
FR,2018,270339
IN,2018,232921
BR,2018,213464
JP,2018,189576
ID,2018,181256
CA,2018,160832
IT,2018,152301
ES,2018,150320
AU,2018,143794
RU,2018,140829
KR,2018,102007
PL,2018,93877
NL,2018,89937
IR,2018,87298
TR,2018,80103
CH,2018,70203
BE,2018,58240
SE,2018,56069
MX,2018,53485
DK,2018,47525
MY,2018,45232
PT,2018,43318
AT,2018,40197
EG,2018,37510
ZA,2018,34341
CZ,2018,34154
NO,2018,33554
AR,2018,30582
IL,2018,30496
CO,2018,29955
FI,2018,29952
PK,2018,29697
SA,2018,29406
SG,2018,28382
NG,2018,25287
CL,2018,24800
IE,2018,23389
TH,2018,22264
NZ,2018,22218
BD,2018,13720
VN,2018,12317
AE,2018,9045
KE,2018,7906
EE,2018,4703
GE,2018,1784
MT,2018,1478
US,2019,1194445
CN,2019,704148
GB,2019,333133
DE,2019,292865
FR,2019,276235
IN,2019,245946
ID,2019,233440
BR,2019,224458
JP,2019,192870
RU,2019,173379
IT,2019,169639
CA,2019,168325
ES,2019,158014
AU,2019,150300
KR,2019,108593
NL,2019,99559
TR,2019,94964
IR,2019,94267
PL,2019,89198
CH,2019,77912
BE,2019,59985
SE,2019,58976
MX,2019,55104
DK,2019,50848
PT,2019,48129
MY,2019,45935
EG,2019,43300
AT,2019,39891
CZ,2019,37956
ZA,2019,36816
NO,2019,36485
PK,2019,35877
SA,2019,35248
IL,2019,32806
FI,2019,32245
NG,2019,30983
CO,2019,30688
SG,2019,30385
AR,2019,30155
CL,2019,26742
IE,2019,25579
NZ,2019,23837
TH,2019,23462
VN,2019,17410
BD,2019,16192
AE,2019,10918
KE,2019,9894
EE,2019,5701
GE,2019,2057
MT,2019,1491
US,2020,1432719
CN,2020,812683
GB,2020,378902
IN,2020,309532
DE,2020,307373
ID,2020,277849
FR,2020,268401
BR,2020,256143
CA,2020,205350
JP,2020,203521
RU,2020,198561
IT,2020,193651
